role_id,title,soc_code,department,headcount,gender_pct_female,median_salary,education_mode,remote_pct
R150,Lab Technician,19-4021,R&D,3,0.45,50000,Associate,0.05
R152,Solutions Architect,15-1299,Engineering,6,0.15,162000,Master,0.82
R155,Scrum Master,15-1299,Engineering,4,0.35,98000,Bachelor,0.80
R159,Systems Analyst,15-1211,IT,4,0.32,85000,Bachelor,0.72
R163,Web Developer,15-1254,Engineering,5,0.30,88000,Bachelor,0.88
R165,Embedded Systems Engineer,15-1252,Engineering,4,0.12,125000,Bachelor,0.60
R169,Information Security Analyst,15-1212,IT,4,0.21,102000,Bachelor,0.78
R172,Customer Experience Analyst,13-1161,Operations,3,0.55,65000,Bachelor,0.72
R176,Technical Recruiter,13-1071,HR,4,0.62,71000,Bachelor,0.80
R187,Proposal Writer,27-3042,Sales,2,0.55,65000,Bachelor,0.80
R188,Pricing Analyst,13-2051,Finance,2,0.42,75000,Bachelor,0.70
R190,Risk Analyst,13-2051,Finance,2,0.38,85000,Bachelor,0.65
R193,Environmental Health & Safety Specialist,19-5011,Operations,2,0.35,71000,Bachelor,0.15
R195,Change Management Specialist,13-1111,Operations,2,0.50,81000,Bachelor,0.65
R196,Process Improvement Analyst,13-1111,Operations,2,0.42,75000,Bachelor,0.68
R201,AI Operations Analyst,15-2051,Engineering,5,0.42,110000,Master,0.85
R202,Content AI Specialist,15-1252,Marketing,3,0.50,95000,Bachelor,0.88
R203,AI Ethics Coordinator,13-1199,Legal,2,0.55,95000,Master,0.72
R204,Prompt Engineer,15-1252,Engineering,4,0.35,120000,Bachelor,0.92
R205,AI Integration Developer,15-1252,Engineering,3,0.28,128000,Bachelor,0.88
